0.00,0.00
0.15,0.13
0.27,0.27
0.40,0.39
0.44,0.45
0.54,0.55
0.53,0.54
0.62,0.62
0.58,0.58
0.66,0.66
0.61,0.61
0.67,0.67
0.66,0.68
0.67,0.68
0.62,0.62
0.68,0.70
0.62,0.63
0.68,0.70
0.63,0.64
0.67,0.71
0.62,0.63
0.67,0.71
0.59,0.66
0.67,0.73
0.61,0.67
0.68,0.73
0.61,0.66
0.67,0.72
0.67,0.73
0.66,0.73
0.61,0.67
0.67,0.75
0.61,0.67
0.67,0.75
0.61,0.68
0.68,0.73
0.62,0.66
0.68,0.72
0.62,0.67
0.68,0.73
0.62,0.68
0.68,0.75
0.68,0.73
0.68,0.72
0.62,0.66
0.68,0.72
0.62,0.66
0.68,0.72
0.62,0.66
0.68,0.73
0.62,0.67
0.68,0.73
0.63,0.66
0.68,0.71
0.62,0.64
0.67,0.72
0.62,0.66
0.70,0.72
0.70,0.71
0.68,0.68
0.62,0.63
0.68,0.70
0.62,0.64
0.68,0.70
0.63,0.64
0.70,0.72
0.64,0.64
0.70,0.72
0.63,0.63
0.70,0.70
0.62,0.64
0.67,0.72
0.67,0.72
0.67,0.71
0.61,0.63
0.68,0.71
0.62,0.63
0.68,0.68
0.61,0.63
0.66,0.70
0.59,0.62
0.66,0.67
0.61,0.62
0.66,0.68
0.59,0.62
0.66,0.67
0.61,0.61
0.67,0.66
0.66,0.66
0.64,0.67
0.58,0.59
0.66,0.66
0.59,0.61
0.66,0.66
0.59,0.59
0.66,0.66
0.59,0.59
0.64,0.66
0.61,0.62
0.66,0.68
0.62,0.63
0.67,0.70
0.67,0.68
0.67,0.71
0.61,0.63
0.67,0.70
0.62,0.63
0.67,0.70
0.62,0.64
0.68,0.72
0.62,0.64
0.68,0.70
0.62,0.63
0.68,0.68
0.62,0.62
0.67,0.68
0.62,0.63
0.67,0.68
0.67,0.70
0.66,0.68
0.58,0.62
0.63,0.67
0.59,0.63
0.66,0.70
0.61,0.62
0.66,0.68
0.59,0.62
0.66,0.68
0.59,0.62
0.62,0.67
0.58,0.61
0.64,0.67
0.64,0.67
0.66,0.67
0.55,0.59
0.62,0.64
0.57,0.59
0.63,0.62
0.58,0.57
0.62,0.62
0.57,0.55
