0.00,0.00
0.13,0.12
0.31,0.35
0.37,0.40
0.50,0.50
0.50,0.50
0.59,0.61
0.54,0.57
0.62,0.64
0.59,0.61
0.64,0.68
0.61,0.61
0.67,0.68
0.59,0.62
0.66,0.70
0.59,0.63
0.64,0.71
0.66,0.71
0.66,0.70
0.67,0.71
0.68,0.71
0.70,0.71
0.67,0.57
0.64,0.52
0.62,0.40
0.61,0.41
0.62,0.55
0.48,0.44
0.54,0.34
0.58,0.37
0.61,0.54
0.63,0.53
0.58,0.46
0.49,0.48
0.54,0.27
0.57,0.43
0.61,0.58
0.63,0.48
0.58,0.52
0.46,0.53
0.55,0.59
0.62,0.59
0.54,0.49
0.58,0.53
0.58,0.55
0.55,0.53
0.58,0.55
0.61,0.55
0.57,0.54
0.58,0.57
0.58,0.58
0.59,0.57
0.59,0.57
0.61,0.58
0.59,0.58
0.59,0.58
0.61,0.61
0.62,0.62
0.64,0.63
0.66,0.66
0.67,0.67
0.70,0.68
0.70,0.71
0.71,0.71
0.72,0.71
0.72,0.71
0.71,0.71
0.70,0.70
0.70,0.70
0.70,0.71
0.71,0.70
0.71,0.71
0.72,0.72
0.72,0.71
0.72,0.73
0.71,0.72
0.70,0.72
0.68,0.71
0.68,0.73
0.68,0.71
0.68,0.70
0.67,0.68
0.66,0.68
0.63,0.66
0.62,0.64
0.62,0.63
0.62,0.63
0.62,0.64
0.63,0.64
0.64,0.64
0.62,0.63
0.63,0.64
0.63,0.64
0.62,0.64
0.62,0.64
0.61,0.63
0.62,0.63
0.63,0.62
0.62,0.62
0.62,0.62
0.62,0.62
0.61,0.62
0.62,0.62
0.61,0.59
0.61,0.61
0.59,0.58
0.58,0.58
0.57,0.57
0.59,0.57
0.61,0.55
0.58,0.55
0.61,0.54
0.58,0.50
0.57,0.54
0.57,0.55
0.59,0.59
0.50,0.50
0.54,0.55
0.62,0.61
0.63,0.66
0.66,0.67
0.61,0.64
0.67,0.66
0.66,0.68
0.67,0.70
0.68,0.71
0.68,0.72
0.68,0.73
0.70,0.73
0.71,0.71
0.71,0.71
0.72,0.72
0.71,0.71
0.71,0.71
0.70,0.71
0.70,0.71
0.70,0.71
0.71,0.72
0.71,0.72
0.72,0.72
0.72,0.73
0.00,0.00
0.13,0.14
0.28,0.35
0.39,0.41
0.48,0.50
0.53,0.58
0.58,0.61
0.62,0.64
0.64,0.67
0.67,0.68
0.68,0.70
0.68,0.71
0.70,0.72
0.70,0.73
0.68,0.73
0.70,0.75
0.63,0.67
0.71,0.75
0.66,0.68
0.71,0.72
0.66,0.67
0.71,0.73
0.63,0.67
0.71,0.76
0.64,0.68
0.72,0.76
0.68,0.70
0.72,0.76
0.66,0.71
0.71,0.77
0.66,0.70
0.71,0.77
0.72,0.79
0.71,0.77
0.66,0.71
0.72,0.77
0.66,0.70
0.73,0.76
0.64,0.68
0.71,0.75
0.64,0.68
0.72,0.75
0.66,0.70
0.73,0.76
0.66,0.68
0.72,0.76
0.72,0.76
0.72,0.75
0.66,0.68
0.72,0.73
0.66,0.67
0.72,0.76
0.66,0.67
0.72,0.72
0.66,0.67
0.72,0.73
0.66,0.66
0.73,0.73
0.67,0.67
0.75,0.72
0.67,0.67
0.73,0.73
0.73,0.73
0.72,0.73
0.66,0.66
0.72,0.71
0.66,0.66
0.73,0.73
0.66,0.67
0.73,0.75
0.66,0.67
0.73,0.70
0.66,0.66
0.73,0.72
0.66,0.66
0.73,0.72
0.72,0.72
0.72,0.73
0.66,0.66
0.73,0.72
0.67,0.66
0.72,0.72
0.66,0.66
0.73,0.72
0.66,0.64
0.72,0.71
0.66,0.63
0.70,0.68
0.63,0.62
0.67,0.70
0.62,0.64
0.70,0.71
0.71,0.70
0.70,0.70
0.64,0.63
0.72,0.68
0.66,0.63
0.71,0.71
0.63,0.64
0.68,0.70
0.62,0.62
0.70,0.67
0.64,0.63
0.72,0.71
0.66,0.63
0.71,0.71
0.70,0.70
0.67,0.67
0.62,0.63
0.67,0.70
0.63,0.63
0.70,0.70
0.64,0.63
0.68,0.71
0.62,0.63
0.67,0.70
0.59,0.63
0.66,0.68
0.58,0.59
0.66,0.67
0.59,0.59
0.64,0.66
0.64,0.64
0.62,0.64
0.57,0.58
0.63,0.63
0.55,0.57
0.61,0.61
0.55,0.55
0.63,0.62
0.58,0.58
0.64,0.63
0.59,0.57
0.64,0.63
0.59,0.57
0.63,0.63
0.64,0.64
0.64,0.63
0.61,0.59
0.67,0.67
0.61,0.62
